Optimal Degree	Optimal Hyperparameter
15	1e-08
Degree	MSE	R2 Score	Hyperparameter
1	0.007097441870998384	0.8871913412797299	7.742636826811278e-05
2	0.0030489166039595096	0.963060886555479	3.5938136638046254e-07
3	0.00231399211830518	0.9641170989340451	7.742636826811278e-05
4	0.0014167854068049	0.9794741465595926	1.2915496650148827e-05
5	0.001652620412758864	0.9782876701765733	2.1544346900318865e-06
6	0.0012232763323717878	0.9826514272716625	5.99484250318941e-08
7	0.0012360064769105063	0.9862053059898382	1.2915496650148827e-05
8	0.001409195876410578	0.9830527350890157	5.99484250318941e-08
9	0.0011155095844133096	0.9850913586876671	3.5938136638046254e-07
10	0.0012133668908291474	0.9850774478213026	2.1544346900318865e-06
11	0.0010684725600501447	0.9863361286695377	3.5938136638046254e-07
12	0.0010792022142418747	0.9850863245719466	3.5938136638046254e-07
13	0.0009571796811417116	0.9872553557322157	2.1544346900318865e-06
14	0.0010126874147981175	0.9868260347915557	2.1544346900318865e-06
15	0.0007921581495751802	0.9890983825057732	1e-08
16	0.000848118156684134	0.9878949723403033	7.742636826811278e-05
17	0.0011032732781085057	0.986539549811767	5.99484250318941e-08
18	0.0009861802532541988	0.9855976229085979	5.99484250318941e-08
19	0.0011691132854735817	0.9870937359049504	3.5938136638046254e-07
20	0.0009908455565744785	0.9864853265040705	1e-08
