Optimal Degree	Optimal Hyperparameter
15	0.016681005372000592
Degree	MSE	R2 Score	Hyperparameter
1	0.10654413822050426	0.8891482075791481	7.742636826811278e-05
2	0.0469568955533123	0.9573640680061075	3.5938136638046254e-07
3	0.02689699211978558	0.9737296038455022	0.0004641588833612782
4	0.023692002652939286	0.9783139014355187	0.016681005372000592
5	0.024896493943214797	0.9778384896866419	0.0004641588833612782
6	0.0239496567648841	0.9779342562816185	1e-08
7	0.02319689583591273	0.981102234965388	7.742636826811278e-05
8	0.021125954257985118	0.9813358708732041	5.99484250318941e-08
9	0.020731271260562515	0.9814504752212	0.016681005372000592
10	0.01992964889608917	0.9830775940218854	5.99484250318941e-08
11	0.021136823370556012	0.98109300902799	0.016681005372000592
12	0.021097357699544884	0.9792852093341985	0.0027825594022071257
13	0.019005571566559083	0.9830085932914808	2.1544346900318865e-06
14	0.021133065281368577	0.983197020186241	2.1544346900318865e-06
15	0.01786836225180594	0.9861896911280525	0.016681005372000592
16	0.019265342180000644	0.9833196899935098	2.1544346900318865e-06
17	0.019984881857147325	0.9819988620371618	0.016681005372000592
18	0.018789538952005535	0.9848605679756943	1.2915496650148827e-05
19	0.018052102870121517	0.9834099149015667	1e-08
20	0.018691532382012998	0.9828223803621461	2.1544346900318865e-06
